Date,Open,High,Low,Close,Adj Close,Volume
2011-04-15,8.160560,8.168430,8.017950,8.128110,4.543776,265623064
2011-04-18,8.130070,8.130070,7.826150,7.916640,4.425561,237937013
2011-04-19,7.934350,8.066140,7.879270,7.964840,4.452505,255310883
2011-04-20,8.059260,8.124170,7.991390,8.046470,4.498138,400588505
2011-04-21,8.137940,8.222530,8.014010,8.104500,4.530579,372089093
2011-04-26,8.152700,8.252030,8.077940,8.209740,4.589410,290752526
2011-04-27,8.213680,8.404490,8.149740,8.335640,4.659790,59419752
2011-04-28,8.438910,8.502840,8.382850,8.459560,4.729064,127958477
2011-04-29,8.478250,8.499890,8.400550,8.480220,4.740613,62851572
2011-05-02,8.360230,8.393670,8.216630,8.234330,4.730775,254735166
2011-05-03,8.222530,8.248100,8.145810,8.248100,4.738687,176862221
2011-05-04,8.211710,8.291380,8.116300,8.145810,4.679920,189117300
2011-05-05,8.158600,8.163510,7.997290,8.065160,4.633584,169488227
2011-05-06,8.066140,8.207770,8.020900,8.144830,4.679357,193439952
2011-05-09,8.053360,8.065160,7.893040,7.917630,4.548825,218645551
2011-05-10,7.917630,8.084830,7.855660,8.042540,4.620588,143968706
2011-05-11,8.081880,8.120240,7.988440,8.045490,4.622284,171994742
2011-05-12,7.985490,8.037620,7.910740,8.037620,4.617762,58816977
2011-05-13,8.040570,8.094670,7.868450,7.882220,4.528482,71172263
2011-05-16,7.838940,7.963850,7.784850,7.932380,4.557301,60021283
2011-05-17,7.955980,8.004180,7.863530,7.872380,4.522828,116277257
2011-05-18,7.956970,7.976640,7.853690,7.937300,4.560126,95915039
2011-05-19,7.952050,8.015000,7.880250,7.925490,4.553341,80576891
2011-05-20,7.975660,8.033680,7.744520,7.775010,4.466888,112227908
2011-05-23,7.678620,7.711080,7.587150,7.644200,4.391734,71165630
2011-05-24,7.661900,7.767140,7.647150,7.689440,4.417726,53253003
2011-05-25,7.622560,7.854680,7.606820,7.818290,4.491754,101682401
2011-05-26,7.868450,7.991390,7.731730,7.771080,4.464630,83397700
2011-05-27,7.886150,7.947130,7.760260,7.857630,4.514354,48588017
2011-05-30,7.848780,7.894020,7.814350,7.814350,4.489489,26031544
2011-05-31,7.897950,8.148760,7.883200,8.128110,4.669750,79065741
2011-06-01,8.153680,8.175320,7.907790,7.960900,4.573685,64680137
2011-06-02,7.878280,8.030730,7.858610,7.894020,4.535261,61392046
2011-06-03,7.917630,7.979590,7.756320,7.952050,4.568602,55772149
2011-06-06,7.944180,7.944180,7.772060,7.817300,4.491184,54293201
2011-06-07,7.833040,7.868450,7.780910,7.838940,4.503616,35685830
2011-06-08,7.798610,7.824190,7.691410,7.731730,4.442022,39910567
2011-06-09,7.720910,7.799600,7.671740,7.741570,4.447676,38994441
2011-06-10,7.712060,7.760260,7.553710,7.570430,4.349352,51520095
2011-06-13,7.597970,7.621570,7.534040,7.543870,4.334092,35121889
2011-06-14,7.573380,7.766160,7.573380,7.729770,4.440897,76333523
2011-06-15,7.681570,7.681570,7.484860,7.494700,4.305845,63925634
2011-06-16,7.475030,7.501580,7.377650,7.496660,4.306971,75349522
2011-06-17,7.430770,7.868450,7.385520,7.819270,4.492316,218673423
2011-06-20,7.671740,7.768120,7.578300,7.735670,4.444286,99941475
2011-06-21,7.779930,7.933360,7.779930,7.893040,4.534698,81451375
2011-06-22,7.897950,7.933360,7.812380,7.868450,4.520570,53900656
2011-06-23,7.802550,7.808450,7.449450,7.491750,4.304150,89846902
2011-06-24,7.635340,7.661900,7.327490,7.385520,4.243118,103851522
2011-06-27,7.385520,7.501580,7.307820,7.424860,4.265719,56268697
2011-06-28,7.503550,7.612720,7.418960,7.506500,4.312624,71643872
2011-06-29,7.573380,7.804520,7.563550,7.666820,4.404730,85795110
2011-06-30,7.728780,7.834020,7.690420,7.832060,4.499664,85792152
2011-07-01,7.821240,8.089750,7.801570,8.038600,4.618324,75598752
2011-07-04,8.064180,8.064180,7.919590,7.995330,4.593465,45996817
2011-07-05,7.978610,8.018930,7.871400,7.888120,4.531871,42000248
2011-07-06,7.833040,7.848780,7.632390,7.720910,4.435806,94265454
2011-07-07,7.789760,7.986470,7.603870,7.734680,4.443718,62779345
2011-07-08,7.770090,7.789760,7.376670,7.439620,4.274200,96070433
2011-07-11,7.387490,7.405190,7.092420,7.204550,4.139148,112137383
2011-07-12,7.067830,7.396340,6.866200,7.220280,4.148185,118629857
2011-07-13,7.150450,7.354050,7.086520,7.206510,4.140274,95437741
2011-07-14,7.130780,7.305850,7.081600,7.224220,4.150447,62943490
2011-07-15,7.150450,7.301920,7.113080,7.135700,4.099593,129174617
2011-07-18,7.111110,7.204550,6.998000,7.004890,4.024440,98471622
2011-07-19,7.025540,7.255690,7.022590,7.117990,4.089418,136090082
2011-07-20,7.227170,7.521250,7.170120,7.475030,4.294543,454705127
2011-07-21,7.501580,7.868450,7.366830,7.805500,4.484405,328494347
2011-07-22,7.897950,8.025820,7.656980,7.716000,4.432986,523376737
2011-07-25,7.593050,7.612720,7.394370,7.468140,4.290585,532612168
2011-07-26,7.479940,7.547810,7.347160,7.457320,4.284370,339740567
2011-07-27,7.376670,7.405190,7.139630,7.220280,4.148185,105380237
2011-07-28,7.091440,7.278310,7.059960,7.247820,4.164007,129265056
2011-07-29,7.081600,7.253720,7.042260,7.204550,4.139148,95391767
2011-08-01,7.199630,7.268480,6.827850,6.827850,3.997767,337510151
2011-08-02,6.786540,6.933090,6.635070,6.635070,3.884894,263870258
2011-08-03,6.589820,6.858340,6.481630,6.554420,3.837671,117084627
2011-08-04,6.719650,6.736370,6.264270,6.264270,3.667787,135474553
2011-08-05,6.098050,6.605560,6.058700,6.338030,3.710973,370335082
2011-08-08,6.611460,6.845550,6.245580,6.265250,3.668360,447934236
2011-08-09,6.376390,6.565240,6.019360,6.244600,3.656269,241158532
2011-08-10,6.447210,6.451140,5.645610,5.724300,3.351629,192852636
2011-08-11,5.978050,6.029200,5.448900,5.907240,3.458741,258344799
2011-08-12,6.075420,6.294760,5.743970,6.294760,3.685639,201182992
2011-08-15,6.363610,6.398030,6.206240,6.359670,3.723644,44684428
2011-08-16,6.343940,6.409830,6.203290,6.406880,3.751285,44699096
2011-08-17,6.349840,6.535730,6.263280,6.441310,3.771444,47377998
2011-08-18,6.323280,6.371480,5.950510,6.178700,3.617685,67201631
2011-08-19,6.147220,6.147220,5.881660,5.988870,3.506537,138323129
2011-08-22,5.911170,6.103950,5.906250,6.037070,3.534759,64096515
2011-08-23,6.126570,6.215090,5.947560,6.037070,3.534759,81016677
2011-08-24,6.098050,6.146240,5.960350,6.040020,3.536486,40707928
2011-08-25,6.137390,6.181650,5.925920,5.999690,3.512872,45140076
2011-08-26,6.031160,6.046900,5.787240,5.911170,3.461043,51265639
2011-08-29,6.024280,6.093130,5.930840,6.052800,3.543969,23794341
2011-08-30,6.157060,6.157060,5.990840,6.049850,3.542241,47457796
2011-08-31,6.089190,6.314430,5.999690,6.314430,3.697155,53247299
2011-09-01,6.314430,6.383280,6.166900,6.336070,3.709825,43694268
2011-09-02,6.203290,6.222960,5.949530,6.029200,3.530150,54891322
2011-09-05,5.901340,5.909200,5.630860,5.671180,3.320526,59319452
2011-09-06,5.617090,5.761670,5.498080,5.557090,3.253726,64944531
2011-09-07,5.716430,5.742980,5.560040,5.666270,3.317652,68073354
2011-09-08,5.676100,5.879700,5.641680,5.755770,3.370055,78675485
2011-09-09,5.742980,5.768560,5.432180,5.432180,3.180590,55105257
2011-09-12,5.409560,5.414480,5.163670,5.177440,3.031438,101292789
2011-09-13,5.279730,5.401690,5.067280,5.401690,3.162738,92777225
2011-09-14,5.320050,5.585610,5.273830,5.538400,3.242784,104615100
2011-09-15,5.606270,5.940680,5.519720,5.822650,3.409214,118087804
2011-09-16,5.923960,5.940680,5.711510,5.822650,3.409214,151091927
2011-09-19,5.645610,5.763640,5.593480,5.691840,3.332623,99171298
2011-09-20,5.639710,5.819700,5.616100,5.812820,3.403458,50522360
2011-09-21,5.806910,5.852160,5.604300,5.665280,3.317072,47295223
2011-09-22,5.448900,5.534470,5.322020,5.382020,3.151221,86824268
2011-09-23,5.507910,5.691840,5.242350,5.631840,3.297493,74659201
2011-09-26,5.507910,5.950510,5.491190,5.818720,3.406913,71986099
2011-09-27,5.970180,6.105920,5.926910,6.074440,3.556638,83436392
2011-09-28,5.980020,6.164930,5.921010,5.984940,3.504236,76300149
2011-09-29,5.918060,6.157060,5.918060,6.084280,3.562400,85119249
